Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-07-03 09:34:00,78.15,2025-07-03 09:35:00,78.15,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),73.46,78.15,85.8,False
2025-07-03 10:49:00,141.7,2025-07-03 10:51:00,133.2,-8.5,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),133.2,133.2,149.35,False
2025-07-03 11:01:00,136.55,2025-07-03 11:08:00,146.55,10.0,7.32%,Fixed TP (Average Signal),Call Option (Enhanced Hybrid Premium),128.36,136.55,165.95,False
2025-07-03 11:36:00,144.8,2025-07-03 11:38:00,143.4,-1.4,-0.97%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),136.11,136.11,147.25,False
2025-07-03 11:42:00,142.9,2025-07-03 11:43:00,134.33,-8.57,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),134.33,134.33,143.65,False
2025-07-03 11:50:00,106.55,2025-07-03 11:51:00,106.55,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),100.16,106.55,115.95,False
2025-07-03 12:21:00,96.4,2025-07-03 12:22:00,90.62,-5.78,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),90.62,90.62,96.4,False
2025-07-03 13:10:00,105.9,2025-07-03 13:16:00,86.05,-19.85,-18.74%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),99.55,99.55,107.4,False
2025-07-03 13:20:00,101.1,2025-07-03 13:21:00,101.1,0.0,0.00%,SL Hit,Call Option (Enhanced Hybrid Premium),95.03,101.1,110.75,False
2025-07-03 14:09:00,110.2,2025-07-03 14:12:00,105.7,-4.5,-4.08%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),103.59,103.59,114.4,False
2025-07-03 14:25:00,82.95,2025-07-03 14:26:00,77.97,-4.98,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),77.97,77.97,83.2,False
2025-07-03 14:28:00,71.9,2025-07-03 14:29:00,67.59,-4.31,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),67.59,67.59,73.5,False
2025-07-03 14:42:00,26.0,2025-07-03 14:43:00,24.44,-1.56,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),24.44,24.44,27.35,False
2025-07-03 14:54:00,21.3,2025-07-03 14:55:00,20.02,-1.28,-6.00%,SL Hit,Call Option (Enhanced Hybrid Premium),20.02,20.02,22.5,False
2025-07-03 15:10:00,10.3,2025-07-03 15:12:00,9.5,-0.8,-7.77%,Williams Exit (Average Signal),Call Option (Enhanced Hybrid Premium),9.68,10.3,17.0,False
2025-07-03 09:23:00,82.00,2025-07-03 09:36:00,98.40,16.40,20.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),77.08,98.40,146.00,True
2025-07-03 10:06:00,62.60,2025-07-03 10:07:00,58.84,-3.76,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),58.84,58.84,62.60,False
2025-07-03 10:14:00,54.85,2025-07-03 10:16:00,51.56,-3.29,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),51.56,51.56,58.50,False
2025-07-03 10:29:00,42.40,2025-07-03 10:30:00,43.50,1.10,2.59%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),39.86,39.86,45.30,False
2025-07-03 10:34:00,42.60,2025-07-03 10:35:00,40.04,-2.56,-6.00%,SL Hit,Put Option (Enhanced Hybrid Premium),40.04,40.04,44.20,False
2025-07-03 11:13:00,33.90,2025-07-03 11:15:00,33.90,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),31.87,33.90,36.00,False
2025-07-03 11:29:00,34.20,2025-07-03 11:30:00,41.04,6.84,20.00%,Trailing SL,Put Option (Enhanced Hybrid Premium),32.15,41.04,44.95,True
2025-07-03 12:37:00,62.80,2025-07-03 12:40:00,60.45,-2.35,-3.74%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),59.03,59.03,67.70,False
2025-07-03 12:44:00,63.10,2025-07-03 12:47:00,63.10,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),59.31,63.10,69.05,False
2025-07-03 13:44:00,33.80,2025-07-03 13:45:00,33.80,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),31.77,33.80,36.15,False
