Entry Time,Entry Price,Exit Time,Exit Price,P/L,P/L %,Exit Reason,Trade Type,Initial SL,Final SL,Highest High,Big Move
2025-06-25 09:50:00,89.05,2025-06-25 09:51:00,78.50,-10.55,-11.85%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),66.79,66.79,91.25,False
2025-06-25 09:55:00,85.00,2025-06-25 09:59:00,80.25,-4.75,-5.59%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),63.75,63.75,87.60,False
2025-06-25 10:04:00,84.00,2025-06-25 10:10:00,84.00,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),63.00,84.00,89.80,False
2025-06-25 10:29:00,78.05,2025-06-25 10:32:00,75.10,-2.95,-3.78%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),58.54,58.54,78.70,False
2025-06-25 10:44:00,76.00,2025-06-25 10:51:00,74.72,-1.28,-1.69%,Trailing SL,Put Option (Enhanced Hybrid Premium),57.00,74.72,82.85,True
2025-06-25 10:57:00,72.90,2025-06-25 11:02:00,68.80,-4.10,-5.62%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),54.68,54.68,72.90,False
2025-06-25 11:12:00,70.80,2025-06-25 12:02:00,70.22,-0.58,-0.82%,Trailing SL,Put Option (Enhanced Hybrid Premium),53.10,70.22,77.60,True
2025-06-25 13:01:00,58.65,2025-06-25 13:03:00,56.85,-1.80,-3.07%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),43.99,43.99,60.30,False
2025-06-25 13:19:00,53.50,2025-06-25 13:20:00,51.35,-2.15,-4.02%,Williams Exit (Average Signal),Put Option (Enhanced Hybrid Premium),40.12,40.12,53.95,False
2025-06-25 13:33:00,48.35,2025-06-25 13:44:00,48.35,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),36.26,48.35,52.20,False
2025-06-25 14:31:00,47.05,2025-06-25 14:33:00,47.05,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),35.29,47.05,52.20,False
2025-06-25 14:48:00,46.75,2025-06-25 14:53:00,45.67,-1.08,-2.32%,Trailing SL,Put Option (Enhanced Hybrid Premium),35.06,45.67,51.10,True
2025-06-25 15:06:00,47.35,2025-06-25 15:14:00,47.35,0.00,0.00%,SL Hit,Put Option (Enhanced Hybrid Premium),35.51,47.35,54.00,False
